"exercicio";"rp_cod";"rp_desc";"gnd_cod";"gnd_desc";"ploa";"loa";"loa_mais_credito";"empenhado";"liquidado";"pago"
2026;"0";"Financeira";"9";"Reserva de Contingência";35182872657;35301028685;35278243668;0;0;0
2026;"2";"Primária discricionária, considerada no cálculo do RP";"9";"Reserva de Contingência";42052782297;1249276419;116232671;0;0;0
2026;"0";"Financeira";"1";"Pessoal e Encargos Sociais";29659585596;29659538597;29685612012;25047660331;17825279298;16848261007
2026;"8";"Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP";"4";"Investimentos";0;5073416999;5206416999;3666920493;167619055;154631274
2026;"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"5";"Inversões Financeiras";0;2350000;3450000;3240896;3240896;3240896
2026;"1";"Primária obrigatória, considerada no cálculo do RP";"1";"Pessoal e Encargos Sociais";459884819324;459886019324;458296698255;399472569803;308580781538;288296248093
2026;"2";"Primária discricionária, considerada no cálculo do RP";"5";"Inversões Financeiras";14128983356;13858324326;19152946537;17487848099;16837808601;16836870349
2026;"1";"Primária obrigatória, considerada no cálculo do RP";"3";"Outras Despesas Correntes";2485266835093;2484116245714;2514735177717;2094794706193;1730773057105;1720329427610
2026;"2";"Primária discricionária, considerada no cálculo do RP";"4";"Investimentos";10244828713;20091740069;15133099902;7744536550;2160740265;1972341948
2026;"0";"Financeira";"2";"Juros e Encargos da Dívida";643939797050;643939797050;643939797050;479617604841;471677040551;471677040551
2026;"7";"Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;7241750091;7340326947;6087541689;4815436714;4784564244
2026;"2";"Primária discricionária, considerada no cálculo do RP";"3";"Outras Despesas Correntes";123714244197;121011568250;152988021045;104833879513;82506787422;79686600703
2026;"7";"Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP";"4";"Investimentos";0;3983561528;3884984672;1370973959;232074895;91890943
2026;"1";"Primária obrigatória, considerada no cálculo do RP";"5";"Inversões Financeiras";3279871478;3279871478;3279871478;3202027170;3202027168;3201928944
2026;"3";"Primária discricionária, PAC, considerada no cálculo do RP";"3";"Outras Despesas Correntes";5905431124;5696896667;6996926697;5424811554;4013771877;3940582499
2026;"0";"Financeira";"6";"Amortização da Dívida";2220511416421;2220511416421;2220511416421;1649762075699;1614917302913;1614917302913
2026;"0";"Financeira";"5";"Inversões Financeiras";205238158582;205150268554;305584171640;245329021663;214752975351;214556537953
2026;"0";"Financeira";"3";"Outras Despesas Correntes";2130018631;2130018631;2131264759;650965761;649836482;649736996
2026;"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"4";"Investimentos";0;9543865125;9436220540;7467879583;4710641124;4667270245
2026;"3";"Primária discricionária, PAC, considerada no cálculo do RP";"4";"Investimentos";41073069214;38135847352;45651473265;30821948674;16973258204;15513442696
2026;"1";"Primária obrigatória, considerada no cálculo do RP";"4";"Investimentos";3992530794;3992530794;4846950181;3975579289;1397250568;1336309793
2026;"8";"Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;7041833001;6908833001;5944613187;5017427942;5017016207
2026;"3";"Primária discricionária, PAC, considerada no cálculo do RP";"5";"Inversões Financeiras";5950711785;6412874782;2960636222;1137093559;1062843538;1022533538
2026;"6";"Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP";"3";"Outras Despesas Correntes";0;17014710017;17121254602;15363846837;11148617398;11083463354
